age,length,weight,maturity,natmort
 1, 11.9, 0.1,0.001,1.352
 2, 30.9, 0.7,0.001,0.520
 3, 47.0, 2.1,0.003,0.342
 4, 60.6, 4.5,0.010,0.265
 5, 72.1, 7.5,0.029,0.223
 6, 81.8,10.8,0.074,0.196
 7, 90.0,14.4,0.161,0.178
 8, 97.0,17.9,0.294,0.166
 9,102.9,21.3,0.450,0.156
10,107.8,24.5,0.598,0.149
11,112.0,27.5,0.720,0.143
12,115.6,30.2,0.812,0.139
13,118.6,32.5,0.876,0.136
14,121.1,34.7,0.920,0.133
15,123.3,36.5,0.949,0.130
16,125.1,38.1,0.968,0.128
17,126.6,39.5,0.981,0.127
18,127.9,40.8,0.989,0.126
19,129.0,41.8,0.994,0.124
20,130.0,42.7,0.997,0.124
21,130.7,43.5,0.999,0.123
22,131.4,44.1,0.999,0.122
23,132.0,44.7,0.999,0.122
24,132.4,45.2,0.999,0.121
25,132.8,45.6,0.999,0.121
26,133.2,45.9,0.999,0.121
27,133.5,46.2,0.999,0.120
28,133.7,46.5,0.999,0.120
29,133.9,46.7,0.999,0.120
30,134.1,46.9,0.999,0.120
31,134.2,47.0,0.998,0.120
32,134.3,47.1,0.998,0.120
33,134.5,47.3,0.998,0.120
34,134.5,47.3,0.998,0.119
35,134.6,47.4,0.998,0.119
36,134.7,47.5,0.997,0.119
37,134.7,47.5,0.997,0.119
38,134.8,47.6,0.997,0.119
39,134.8,47.6,0.997,0.119
40,134.8,47.7,0.997,0.119
