rel.group,rel.area,rel.year,rel.season,program,rel.length,rec.fishery,rec.year,rec.season,rec.number
1,2,1990,2,RTTP,40,28,1990,4,1
1,2,1990,2,RTTP,44,28,1990,4,1
1,2,1990,2,RTTP,48,28,1991,1,1
1,2,1990,2,RTTP,50,25,1991,1,1
1,2,1990,2,RTTP,52,25,1991,1,1
2,2,1990,3,RTTP,28,22,1990,3,1
2,2,1990,3,RTTP,34,22,1990,3,1
2,2,1990,3,RTTP,34,25,1991,1,1
2,2,1990,3,RTTP,34,28,1990,4,1
2,2,1990,3,RTTP,36,16,1990,4,2
2,2,1990,3,RTTP,36,22,1993,4,1
2,2,1990,3,RTTP,36,25,1991,1,1
2,2,1990,3,RTTP,36,28,1990,4,1
2,2,1990,3,RTTP,36,28,1991,1,2
2,2,1990,3,RTTP,36,28,1991,3,1
2,2,1990,3,RTTP,36,29,1992,2,1
2,2,1990,3,RTTP,38,16,1990,3,2
2,2,1990,3,RTTP,38,25,1991,1,2
2,2,1990,3,RTTP,38,25,1991,2,1
2,2,1990,3,RTTP,38,28,1990,4,1
2,2,1990,3,RTTP,38,28,1991,1,1
2,2,1990,3,RTTP,38,29,1992,1,1
2,2,1990,3,RTTP,40,16,1990,3,2
2,2,1990,3,RTTP,40,17,1991,2,1
2,2,1990,3,RTTP,40,21,1990,3,1
2,2,1990,3,RTTP,40,28,1990,3,1
2,2,1990,3,RTTP,40,28,1990,4,4
2,2,1990,3,RTTP,40,28,1991,1,1
2,2,1990,3,RTTP,40,28,1991,2,1
2,2,1990,3,RTTP,42,16,1990,3,1
2,2,1990,3,RTTP,42,19,1990,4,1
2,2,1990,3,RTTP,42,22,1990,4,1
2,2,1990,3,RTTP,42,25,1991,1,3
2,2,1990,3,RTTP,42,25,1991,2,1
2,2,1990,3,RTTP,42,25,1991,3,1
2,2,1990,3,RTTP,42,28,1990,4,3
2,2,1990,3,RTTP,42,28,1991,1,2
2,2,1990,3,RTTP,42,28,1991,3,1
2,2,1990,3,RTTP,44,22,1990,3,1
2,2,1990,3,RTTP,44,25,1990,4,1
2,2,1990,3,RTTP,44,25,1991,1,2
2,2,1990,3,RTTP,44,28,1990,4,6
2,2,1990,3,RTTP,44,28,1991,1,3
2,2,1990,3,RTTP,44,28,1991,2,1
2,2,1990,3,RTTP,44,28,1991,3,1
2,2,1990,3,RTTP,44,28,1991,4,1
2,2,1990,3,RTTP,46,19,1990,3,2
2,2,1990,3,RTTP,46,19,1990,4,2
2,2,1990,3,RTTP,46,19,1992,4,1
2,2,1990,3,RTTP,46,19,1993,1,1
2,2,1990,3,RTTP,46,22,1990,3,10
2,2,1990,3,RTTP,46,25,1991,1,1
2,2,1990,3,RTTP,46,25,1991,2,2
2,2,1990,3,RTTP,46,28,1990,4,1
2,2,1990,3,RTTP,46,28,1991,1,1
2,2,1990,3,RTTP,46,28,1991,2,2
2,2,1990,3,RTTP,46,28,1991,3,2
2,2,1990,3,RTTP,46,28,1993,4,1
2,2,1990,3,RTTP,48,19,1991,1,1
2,2,1990,3,RTTP,48,19,1991,2,2
2,2,1990,3,RTTP,48,22,1990,3,1
2,2,1990,3,RTTP,48,26,1990,4,1
2,2,1990,3,RTTP,48,28,1990,4,3
