age,length,weight,maturity,natmort
1,11.8857,0.0607,0.000552683534389642,1.352
2,30.9134,0.6562,0.000742907881147503,0.5198
3,47.0009,2.1475,0.00257152077270417,0.3419
4,60.6025,4.4902,0.00962884743294878,0.2652
5,72.1024,7.4708,0.0292707165204785,0.2229
6,81.8253,10.8425,0.0744900661496722,0.1964
7,90.0458,14.3846,0.161326502339326,0.1785
8,96.9961,17.9238,0.293975386407227,0.1657
9,102.8724,21.3353,0.449939104311271,0.1562
10,107.8407,24.5378,0.598354612137846,0.149
11,112.0412,27.4838,0.720404398342244,0.1434
12,115.5927,30.1516,0.811720717829715,0.139
13,118.5954,32.5379,0.876162238957704,0.1355
14,121.1342,34.6513,0.92005405761923,0.1327
15,123.2806,36.508,0.949298726242619,0.1304
16,125.0954,38.1288,0.968489057609116,0.1285
17,126.6297,39.5361,0.980917272008706,0.1269
18,127.927,40.7526,0.988848810301508,0.1256
19,129.0238,41.8005,0.993810089511243,0.1245
20,129.9511,42.7003,0.996825304456627,0.1237
21,130.7351,43.4712,0.998570412705394,0.1229
22,131.398,44.1301,0.999332573636936,0.1223
23,131.9584,44.6924,0.999475444630595,0.1218
24,132.4323,45.1715,0.999497764814978,0.1213
25,132.8329,45.5793,0.999468930291949,0.121
26,133.1717,45.926,0.999400044134507,0.1207
27,133.458,46.2204,0.999284061381847,0.1204
28,133.7002,46.4704,0.999096872562866,0.1202
29,133.9049,46.6824,0.998819420283338,0.12
30,134.078,46.8622,0.998545679088996,0.1199
31,134.2243,47.0145,0.998292818540706,0.1197
32,134.348,47.1436,0.998063914287049,0.1196
33,134.4526,47.2529,0.997859690056877,0.1195
34,134.5411,47.3454,0.997679446660974,0.1194
35,134.6159,47.4238,0.997521678502304,0.1194
36,134.6791,47.4901,0.997384469656065,0.1193
37,134.7325,47.5462,0.997265746398737,0.1193
38,134.7777,47.5937,0.997163434630412,0.1192
39,134.8159,47.6338,0.997075554508542,0.1192
40,134.8482,47.6678,0.997000271711609,0.1192
