fishery,age,sel
9,6,6e-04
9,7,0.0055
9,8,0.0499
9,9,0.2507
9,10,0.6176
9,11,0.9007
9,12,1
9,13,0.9756
9,14,0.9028
9,15,0.8239
9,16,0.7554
9,17,0.7008
9,18,0.6591
9,19,0.628
9,20,0.6051
9,21,0.5883
9,22,0.5761
9,23,0.5673
9,24,0.561
9,25,0.5564
9,26,0.5532
9,27,0.5509
9,28,0.5492
9,29,0.5481
9,30,0.5473
9,31,0.5468
9,32,0.5464
9,33,0.5462
9,34,0.546
9,35,0.5459
9,36,0.5458
9,37,0.5458
9,38,0.5458
9,39,0.5458
9,40,0.5458
10,1,0
10,2,0
10,3,0.0356
10,4,0.0574
10,5,0.1359
10,6,0.2967
10,7,0.5257
10,8,0.7608
10,9,0.9301
10,10,1
10,11,0.9951
10,12,0.9578
10,13,0.9127
10,14,0.8708
10,15,0.8357
10,16,0.8079
10,17,0.7865
10,18,0.7703
10,19,0.7582
10,20,0.7493
10,21,0.7427
10,22,0.738
10,23,0.7346
10,24,0.7321
10,25,0.7303
10,26,0.729
10,27,0.7282
10,28,0.7275
10,29,0.7271
10,30,0.7268
10,31,0.7266
10,32,0.7264
10,33,0.7263
10,34,0.7263
10,35,0.7262
10,36,0.7262
10,37,0.7262
10,38,0.7262
10,39,0.7262
10,40,0.7262
11,1,2e-04
11,2,5e-04
11,3,0.0032
11,4,0.0131
11,5,0.0344
11,6,0.0695
11,7,0.1211
11,8,0.1926
11,9,0.2837
11,10,0.3871
11,11,0.4932
11,12,0.5935
11,13,0.6825
11,14,0.7573
11,15,0.8177
11,16,0.8651
11,17,0.9013
11,18,0.9285
11,19,0.9487
11,20,0.9634
11,21,0.9741
11,22,0.9818
11,23,0.9873
11,24,0.9912
11,25,0.994
11,26,0.9959
11,27,0.9973
11,28,0.9982
11,29,0.9988
11,30,0.9993
11,31,0.9996
11,32,0.9997
11,33,0.9999
11,34,0.9999
11,35,1
11,36,1
11,37,1
11,38,1
11,39,1
11,40,1
12,1,0
12,2,0.4265
12,3,0.3165
12,4,0.3036
12,5,0.4711
12,6,0.7293
12,7,0.922
12,8,1
12,9,0.9968
12,10,0.9512
12,11,0.8903
12,12,0.8314
12,13,0.7816
12,14,0.7422
12,15,0.712
12,16,0.6893
12,17,0.6725
12,18,0.6601
12,19,0.651
12,20,0.6444
12,21,0.6396
12,22,0.6362
12,23,0.6337
12,24,0.632
12,25,0.6307
12,26,0.6298
12,27,0.6292
12,28,0.6288
12,29,0.6285
12,30,0.6283
12,31,0.6281
12,32,0.628
12,33,0.628
12,34,0.6279
12,35,0.6279
12,36,0.6279
12,37,0.6279
12,38,0.6279
12,39,0.6279
12,40,0.6279
13,1,0
13,2,0.5265
13,3,0.7966
13,4,1
13,5,0.7772
13,6,0.6086
13,7,0.5426
13,8,0.4205
13,9,0.2498
13,10,0.1151
13,11,0.0458
13,12,0.0189
13,13,0.0088
13,14,0.0048
13,15,0.003
13,16,0.0021
13,17,0.0016
13,18,0.0013
13,19,0.0012
13,20,0.0011
13,21,0.001
13,22,0.001
13,23,0.001
13,24,0.001
13,25,0.001
13,26,0.001
13,27,0.001
13,28,0.001
13,29,0.001
13,30,0.001
13,31,0.001
13,32,0.001
13,33,0.001
13,34,0.001
13,35,0.001
13,36,0.001
13,37,0.001
13,38,0.001
13,39,0.001
13,40,0.001
14,1,0
14,2,0
14,3,0
14,4,0
14,5,0
14,6,0
14,7,0
14,8,0
14,9,1e-04
14,10,0.0022
14,11,0.0292
14,12,0.1463
14,13,0.364
14,14,0.6015
14,15,0.7873
14,16,0.9038
14,17,0.9654
14,18,0.9923
14,19,1
14,20,0.9984
14,21,0.993
14,22,0.9867
14,23,0.9807
14,24,0.9756
14,25,0.9715
14,26,0.9683
14,27,0.9658
14,28,0.964
14,29,0.9626
14,30,0.9616
14,31,0.9609
14,32,0.9605
14,33,0.9601
14,34,0.9599
14,35,0.9597
14,36,0.9596
14,37,0.9595
14,38,0.9595
14,39,0.9595
14,40,0.9595
15,1,0
15,2,0
15,3,0
15,4,0
15,5,0
15,6,0
15,7,0.0014
15,8,0.065
15,9,0.0679
15,10,0.0262
15,11,0.0132
15,12,0.013
15,13,0.0211
15,14,0.0403
15,15,0.0771
15,16,0.1367
15,17,0.2199
15,18,0.3213
15,19,0.4312
15,20,0.5395
15,21,0.6383
15,22,0.7231
15,23,0.7925
15,24,0.8473
15,25,0.8894
15,26,0.921
15,27,0.9443
15,28,0.9612
15,29,0.9734
15,30,0.9821
15,31,0.9881
15,32,0.9924
15,33,0.9953
