age,year,season,area,f
1,1952,1,1,1.715296e-06
2,1952,1,1,0.0006508721
3,1952,1,1,0.0007826533
4,1952,1,1,0.0009535146
5,1952,1,1,0.0009957198
6,1952,1,1,0.001197144
7,1952,1,1,0.001433073
8,1952,1,1,0.001487345
9,1952,1,1,0.00138295
10,1952,1,1,0.00124355
11,1952,1,1,0.001132499
12,1952,1,1,0.001054564
13,1952,1,1,0.0009988872
14,1952,1,1,0.0009583631
15,1952,1,1,0.0009287239
16,1952,1,1,0.0009070583
17,1952,1,1,0.0008912531
18,1952,1,1,0.0008797513
19,1952,1,1,0.000871404
20,1952,1,1,0.000865365
21,1952,1,1,0.0008610111
22,1952,1,1,0.0008578846
23,1952,1,1,0.0008556494
24,1952,1,1,0.0008540592
25,1952,1,1,0.000852936
26,1952,1,1,0.0008521442
27,1952,1,1,0.0008515897
28,1952,1,1,0.0008512046
29,1952,1,1,0.0008509397
30,1952,1,1,0.0008507597
31,1952,1,1,0.0008506392
32,1952,1,1,0.0008505604
33,1952,1,1,0.0008505102
34,1952,1,1,0.0008504797
35,1952,1,1,0.0008504624
36,1952,1,1,0.000850454
37,1952,1,1,0.0008504513
38,1952,1,1,0.0008504513
39,1952,1,1,0.0008504513
40,1952,1,1,0.0008504513
1,1953,1,1,2.613426e-06
2,1953,1,1,0.0009339487
3,1953,1,1,0.001324035
4,1953,1,1,0.001680855
5,1953,1,1,0.001544862
6,1953,1,1,0.001620436
7,1953,1,1,0.001840096
8,1953,1,1,0.001837484
9,1953,1,1,0.001626635
10,1953,1,1,0.00140518
11,1953,1,1,0.001263335
12,1953,1,1,0.00118637
13,1953,1,1,0.001141874
14,1953,1,1,0.001113776
15,1953,1,1,0.001095013
16,1953,1,1,0.001082083
17,1953,1,1,0.001073008
18,1953,1,1,0.001066569
19,1953,1,1,0.001061972
20,1953,1,1,0.001058681
21,1953,1,1,0.001056326
22,1953,1,1,0.001054646
23,1953,1,1,0.001053452
24,1953,1,1,0.001052608
25,1953,1,1,0.001052021
26,1953,1,1,0.001051609
27,1953,1,1,0.001051322
28,1953,1,1,0.001051125
29,1953,1,1,0.001050991
30,1953,1,1,0.001050902
31,1953,1,1,0.001050845
32,1953,1,1,0.001050808
33,1953,1,1,0.001050787
34,1953,1,1,0.001050775
35,1953,1,1,0.00105077
36,1953,1,1,0.00105077
37,1953,1,1,0.001050772
38,1953,1,1,0.001050772
39,1953,1,1,0.001050772
40,1953,1,1,0.001050772
1,1954,1,1,3.687677e-06
2,1954,1,1,0.00117611
3,1954,1,1,0.001458409
4,1954,1,1,0.001799902
5,1954,1,1,0.001850704
6,1954,1,1,0.002192301
7,1954,1,1,0.002608128
8,1954,1,1,0.002676755
9,1954,1,1,0.002438465
10,1954,1,1,0.002136362
11,1954,1,1,0.001894964
12,1954,1,1,0.001722984
13,1954,1,1,0.001598455
14,1954,1,1,0.001506929
15,1954,1,1,0.001439527
16,1954,1,1,0.00139003
17,1954,1,1,0.001353819
18,1954,1,1,0.001327428
19,1954,1,1,0.001308266
20,1954,1,1,0.001294405
21,1954,1,1,0.001284416
22,1954,1,1,0.001277248
23,1954,1,1,0.001272127
24,1954,1,1,0.001268485
25,1954,1,1,0.001265913
26,1954,1,1,0.0012641
27,1954,1,1,0.00126283
28,1954,1,1,0.001261947
29,1954,1,1,0.00126134
30,1954,1,1,0.001260926
31,1954,1,1,0.001260648
32,1954,1,1,0.001260466
33,1954,1,1,0.001260349
34,1954,1,1,0.001260277
35,1954,1,1,0.001260236
36,1954,1,1,0.001260214
37,1954,1,1,0.001260207
38,1954,1,1,0.001260207
39,1954,1,1,0.001260207
40,1954,1,1,0.001260207
1,1955,1,1,3.913264e-06
2,1955,1,1,0.001083415
3,1955,1,1,0.001393029
4,1955,1,1,0.001743044
5,1955,1,1,0.001768625
6,1955,1,1,0.002074204
7,1955,1,1,0.002470304
8,1955,1,1,0.002536071
9,1955,1,1,0.002303481
10,1955,1,1,0.002012205
11,1955,1,1,0.001783963
12,1955,1,1,0.001624711
13,1955,1,1,0.001511068
14,1955,1,1,0.00142829
15,1955,1,1,0.001367672
16,1955,1,1,0.001323319
17,1955,1,1,0.00129095
18,1955,1,1,0.0012674
19,1955,1,1,0.001250319
20,1955,1,1,0.001237974
21,1955,1,1,0.001229084
22,1955,1,1,0.001222707
23,1955,1,1,0.001218153
24,1955,1,1,0.001214917
25,1955,1,1,0.001212632
26,1955,1,1,0.001211023
27,1955,1,1,0.001209897
28,1955,1,1,0.001209115
29,1955,1,1,0.001208577
30,1955,1,1,0.001208212
31,1955,1,1,0.001207967
32,1955,1,1,0.001207806
33,1955,1,1,0.001207704
34,1955,1,1,0.001207641
35,1955,1,1,0.001207606
36,1955,1,1,0.001207588
37,1955,1,1,0.001207582
38,1955,1,1,0.001207582
39,1955,1,1,0.001207582
40,1955,1,1,0.001207582
1,1956,1,1,5.106381e-06
2,1956,1,1,0.0006467114
3,1956,1,1,0.0009381554
4,1956,1,1,0.001250587
5,1956,1,1,0.001312641
6,1956,1,1,0.001622581
7,1956,1,1,0.002028966
8,1956,1,1,0.002145725
9,1956,1,1,0.001979834
10,1956,1,1,0.001745862
11,1956,1,1,0.001556772
12,1956,1,1,0.001423082
13,1956,1,1,0.001327588
14,1956,1,1,0.001258395
15,1956,1,1,0.001208063
16,1956,1,1,0.00117146
17,1956,1,1,0.001144881
18,1956,1,1,0.001125616
19,1956,1,1,0.001111685
20,1956,1,1,0.001101638
21,1956,1,1,0.001094415
22,1956,1,1,0.001089243
23,1956,1,1,0.001085554
24,1956,1,1,0.001082936
25,1956,1,1,0.00108109
26,1956,1,1,0.001079793
27,1956,1,1,0.001078888
28,1956,1,1,0.001078261
29,1956,1,1,0.001077832
30,1956,1,1,0.001077541
31,1956,1,1,0.001077349
32,1956,1,1,0.001077223
33,1956,1,1,0.001077145
34,1956,1,1,0.001077098
35,1956,1,1,0.001077072
36,1956,1,1,0.001077061
37,1956,1,1,0.001077059
38,1956,1,1,0.001077059
39,1956,1,1,0.001077059
40,1956,1,1,0.001077059
1,1957,1,1,4.039866e-06
2,1957,1,1,0.0004374513
3,1957,1,1,0.0005534239
4,1957,1,1,0.0007309148
5,1957,1,1,0.0008972293
6,1957,1,1,0.001267144
7,1957,1,1,0.001666926
8,1957,1,1,0.001830798
9,1957,1,1,0.001768496
10,1957,1,1,0.001629922
11,1957,1,1,0.001500395
12,1957,1,1,0.001399497
13,1957,1,1,0.001323641
14,1957,1,1,0.001267367
15,1957,1,1,0.001225986
16,1957,1,1,0.00119573
17,1957,1,1,0.00117369
18,1957,1,1,0.001157681
19,1957,1,1,0.001146083
20,1957,1,1,0.001137706
21,1957,1,1,0.001131675
