year,season,area,sb
1987,3,5,980160
1988,3,5,963970
1989,3,5,938070
1990,3,5,871100
1991,3,5,815810
1992,3,5,735100
1993,3,5,654340
1994,3,5,594260
1995,3,5,569120
1996,3,5,566390
1997,3,5,560090
1998,3,5,529140
1999,3,5,473630
2000,3,5,440570
2001,3,5,428430
2002,3,5,422030
2003,3,5,408450
2004,3,5,393540
2005,3,5,399090
2006,3,5,392080
2007,3,5,386140
2008,3,5,395320
2009,3,5,408180
2010,3,5,407020
2011,3,5,374300
2012,3,5,351040
2013,3,5,344140
2014,3,5,358990
2015,3,5,389830
2016,3,5,419700
2017,3,5,419690
2018,3,5,397630
2019,3,5,406280
2020,3,5,450180
2021,3,5,457270
2022,3,5,508520
2023,3,5,539940
2024,3,5,513170
1952,4,5,1870200
1953,4,5,2226000
1954,4,5,2305000
1955,4,5,2178500
1956,4,5,2190300
1957,4,5,2161400
1958,4,5,1992400
1959,4,5,1915600
1960,4,5,1872200
1961,4,5,1724500
1962,4,5,1562700
1963,4,5,1464300
1964,4,5,1393900
1965,4,5,1372600
1966,4,5,1296800
1967,4,5,1170100
1968,4,5,1060800
1969,4,5,1018000
1970,4,5,1028200
1971,4,5,1049900
1972,4,5,1013500
1973,4,5,948310
1974,4,5,929430
1975,4,5,904970
1976,4,5,873450
1977,4,5,896340
1978,4,5,976090
1979,4,5,1008700
1980,4,5,975260
1981,4,5,921900
1982,4,5,896680
1983,4,5,893950
1984,4,5,885480
1985,4,5,846490
1986,4,5,869820
1987,4,5,893330
1988,4,5,874100
1989,4,5,854610
1990,4,5,791750
1991,4,5,747330
1992,4,5,667580
1993,4,5,599020
1994,4,5,551150
1995,4,5,535320
1996,4,5,530550
1997,4,5,519380
1998,4,5,484420
1999,4,5,434720
2000,4,5,408000
2001,4,5,398690
2002,4,5,390720
2003,4,5,378230
2004,4,5,363520
2005,4,5,373310
2006,4,5,363110
2007,4,5,361090
2008,4,5,372900
2009,4,5,382860
2010,4,5,374390
2011,4,5,344340
2012,4,5,325300
2013,4,5,324710
2014,4,5,338200
2015,4,5,365560
2016,4,5,390630
2017,4,5,386010
2018,4,5,369150
2019,4,5,385870
2020,4,5,426810
2021,4,5,435900
2022,4,5,494020
2023,4,5,511580
2024,4,5,477840
