year,season,area,sb
2009,4,1,202820
2010,4,1,209300
2011,4,1,204520
2012,4,1,198590
2013,4,1,203210
2014,4,1,222220
2015,4,1,240500
2016,4,1,245900
2017,4,1,245900
2018,4,1,241620
2019,4,1,255280
2020,4,1,285300
2021,4,1,298400
2022,4,1,322260
2023,4,1,324100
2024,4,1,289040
1952,1,2,3469800
1953,1,2,3702000
1954,1,2,3668100
1955,1,2,3451400
1956,1,2,3225800
1957,1,2,3424100
1958,1,2,3409200
1959,1,2,3533000
1960,1,2,3926800
1961,1,2,3674800
1962,1,2,3062800
1963,1,2,2692500
1964,1,2,2551200
1965,1,2,2567500
1966,1,2,2810700
1967,1,2,2494300
1968,1,2,2248900
1969,1,2,1993900
1970,1,2,2120700
1971,1,2,2136500
1972,1,2,2181900
1973,1,2,1898600
1974,1,2,1821900
1975,1,2,1922000
1976,1,2,1773900
1977,1,2,1752000
1978,1,2,1886000
1979,1,2,1922200
1980,1,2,1659500
1981,1,2,1418200
1982,1,2,1268800
1983,1,2,1267400
1984,1,2,1314900
1985,1,2,1328800
1986,1,2,1365600
1987,1,2,1575600
1988,1,2,1538800
1989,1,2,1421900
1990,1,2,1276800
1991,1,2,1101900
1992,1,2,943630
1993,1,2,744780
1994,1,2,649110
1995,1,2,637820
1996,1,2,679360
1997,1,2,716370
1998,1,2,705820
1999,1,2,653930
2000,1,2,627640
2001,1,2,655130
2002,1,2,683600
2003,1,2,682480
2004,1,2,678630
2005,1,2,673230
2006,1,2,668970
2007,1,2,638450
2008,1,2,663400
2009,1,2,675500
2010,1,2,637600
2011,1,2,580020
2012,1,2,532950
2013,1,2,537460
2014,1,2,590210
2015,1,2,626920
2016,1,2,664830
2017,1,2,650860
2018,1,2,609420
2019,1,2,550090
2020,1,2,566940
2021,1,2,549250
2022,1,2,464020
2023,1,2,447490
2024,1,2,415560
1952,2,2,3632600
1953,2,2,3648200
1954,2,2,3594700
1955,2,2,3306200
1956,2,2,3242000
1957,2,2,3400200
1958,2,2,3364300
1959,2,2,3623500
1960,2,2,3883900
1961,2,2,3482200
1962,2,2,2909600
1963,2,2,2618700
1964,2,2,2501100
1965,2,2,2612000
1966,2,2,2732500
1967,2,2,2390600
1968,2,2,2144600
1969,2,2,1976000
1970,2,2,2107900
1971,2,2,2131100
1972,2,2,2103000
1973,2,2,1823900
1974,2,2,1830500
1975,2,2,1876800
1976,2,2,1729400
1977,2,2,1755800
1978,2,2,1898800
1979,2,2,1848700
1980,2,2,1572900
1981,2,2,1346600
1982,2,2,1242600
1983,2,2,1259300
1984,2,2,1312400
1985,2,2,1301100
1986,2,2,1408800
1987,2,2,1569400
1988,2,2,1495800
1989,2,2,1379100
1990,2,2,1218600
1991,2,2,1059900
1992,2,2,881120
1993,2,2,707530
1994,2,2,636380
1995,2,2,642860
1996,2,2,689630
1997,2,2,716130
1998,2,2,689620
1999,2,2,641210
2000,2,2,623260
2001,2,2,663160
2002,2,2,677470
2003,2,2,678080
2004,2,2,666870
2005,2,2,673120
2006,2,2,647190
2007,2,2,633970
2008,2,2,661100
2009,2,2,660960
2010,2,2,615430
2011,2,2,554580
2012,2,2,520420
2013,2,2,538760
2014,2,2,589870
2015,2,2,630350
2016,2,2,661350
2017,2,2,635570
2018,2,2,578560
2019,2,2,541920
2020,2,2,565960
2021,2,2,513960
2022,2,2,442390
2023,2,2,430490
2024,2,2,397310
1952,3,2,3814500
1953,3,2,3825000
1954,3,2,3728500
1955,3,2,3370100
1956,3,2,3469100
1957,3,2,3570200
1958,3,2,3547700
1959,3,2,3963900
1960,3,2,4060500
1961,3,2,3503100
1962,3,2,2959100
1963,3,2,2723800
1964,3,2,2627900
1965,3,2,2857200
1966,3,2,2801600
1967,3,2,2464800
1968,3,2,2178000
1969,3,2,2127300
1970,3,2,2226300
1971,3,2,2280600
1972,3,2,2137100
1973,3,2,1891500
1974,3,2,1973600
1975,3,2,1935100
1976,3,2,1811400
1977,3,2,1886100
1978,3,2,2026400
1979,3,2,1869600
1980,3,2,1579400
1981,3,2,1355600
1982,3,2,1291300
1983,3,2,1324000
1984,3,2,1378400
1985,3,2,1355500
1986,3,2,1545600
1987,3,2,1643400
1988,3,2,1538400
1989,3,2,1409100
1990,3,2,1224400
1991,3,2,1060800
1992,3,2,863540
1993,3,2,705900
1994,3,2,654300
1995,3,2,677850
1996,3,2,731650
1997,3,2,747610
1998,3,2,706980
1999,3,2,662420
2000,3,2,659660
2001,3,2,708230
2002,3,2,712860
2003,3,2,714230
2004,3,2,701010
2005,3,2,714110
2006,3,2,671240
2007,3,2,676010
2008,3,2,702500
2009,3,2,689390
2010,3,2,631760
2011,3,2,568480
2012,3,2,546530
2013,3,2,579280
2014,3,2,629630
2015,3,2,675300
2016,3,2,690580
2017,3,2,657540
2018,3,2,587480
2019,3,2,570640
2020,3,2,590340
2021,3,2,505120
2022,3,2,457680
2023,3,2,428990
2024,3,2,406720
1952,4,2,3217500
1953,4,2,3203400
1954,4,2,3075400
1955,4,2,2790100
1956,4,2,2952400
1957,4,2,2979600
1958,4,2,3004600
1959,4,2,3396300
1960,4,2,3318900
1961,4,2,2792100
1962,4,2,2402600
1963,4,2,2253000
1964,4,2,2209300
1965,4,2,2452600
1966,4,2,2261000
1967,4,2,2018900
1968,4,2,1767000
1969,4,2,1823900
1970,4,2,1859900
1971,4,2,1920500
1972,4,2,1715100
1973,4,2,1575200
1974,4,2,1675900
1975,4,2,1578000
1976,4,2,1514300
1977,4,2,1608600
1978,4,2,1692200
1979,4,2,1496200
